name,port,header,protocol,status,fill,stroke,refs,image
DCOAppInventory,80,DCOAppInventory,http,Started,#d5e8d36,#82b398,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
DCOAPPREQADMIN,8129,,http,Started,#d5e8d37,#82b399,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
DCOAPPREQUEST (Data Center Operations),8128,,http,Started,#d5e8d38,#82b400,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
DCOCNTRT,80,DCOCNTRT,http,Started,#d5e8d39,#82b401,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
DCOInventory,8058,,http,Started,#d5e8d40,#82b402,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
DCOLIC,8137,,http,Started,#d5e8d41,#82b403,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
DealTrack,8145,,http,Started,#d5e8d42,#82b404,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
DigitalSurvey,8134,,http,Started,#d5e8d43,#82b405,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
D-League Game Reports System,8196,,http,Started,#d5e8d44,#82b406,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Dleague Rosters,8097,,http,Started,#d5e8d45,#82b407,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
DMM,80,DMM,http,Stopped,#d5e8d46,#82b408,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
DocMgmtRedirect,80,docs,http,Started,#d5e8d47,#82b409,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
E Redbook,8989,,http,Started,#d5e8d48,#82b410,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
EInvoice,8213,,http,Started,#d5e8d49,#82b411,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
EmployeeDirectory,8169,,http,Started,#d5e8d50,#82b412,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
EmpPhotoBrowseTest,2034,,http,Stopped,#d5e8d51,#82b413,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
EMS,8057,,http,Started,#d5e8d52,#82b414,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
EMS for Blackberry,8106,,http,Started,#d5e8d53,#82b415,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
EMS Redirect,9000,,http,Started,#d5e8d54,#82b416,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
EMSResponseAllStar,8101,,http,Stopped,#d5e8d55,#82b417,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
ERecognition,8221,,http,Started,#d5e8d56,#82b418,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
eviteNBAAllStar2008,8083,,http,Stopped,#d5e8d57,#82b419,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
evitenbadraft2009,8109,,http,Stopped,#d5e8d58,#82b420,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Game Notes,8068,,http,Started,#d5e8d59,#82b421,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Game Schedule,8096,,http,Started,#d5e8d60,#82b422,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Game Schedule Web Service,80,GSWebservice,http,Started,#d5e8d61,#82b423,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Game Stats,8065,,http,Started,#d5e8d62,#82b424,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
GameInquiry,8551,,http,Started,#d5e8d63,#82b425,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
GameOps,80,GameOps,http,Stopped,#d5e8d64,#82b426,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
GiftDisclosure,8305,,http,Started,#d5e8d65,#82b427,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
GLeagueOnboarding,3154,,http,Started,#d5e8d66,#82b428,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
GMGIA China,8190,,http,Started,#d5e8d67,#82b429,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
GMGIAOnline_Internal,8150,,http,Started,#d5e8d68,#82b430,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
GRS 2.0 Web,80,grsweb,http,Started,#d5e8d69,#82b431,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
GRS2.0Webtest,8249,,http,Stopped,#d5e8d70,#82b432,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
GRSreports,8214,,http,Started,#d5e8d71,#82b433,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
HolidayVoucher,8160,,http,Started,#d5e8d72,#82b434,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
HON Cisco Phone Forwarder,8178,,http,Started,#d5e8d73,#82b435,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
HON Voicemail forwarder,8179,,http,Started,#d5e8d74,#82b436,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
HRDoc,8287,,http,Started,#d5e8d75,#82b437,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
HRreports,80,hrreports,http,Stopped,#d5e8d76,#82b438,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
IssueLog,80,issueLog,http,Stopped,#d5e8d77,#82b439,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
itbenefits,8212,,http,Stopped,#d5e8d78,#82b440,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
ITCentral,8225,,http,Started,#d5e8d79,#82b441,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
JabberPhotos,80,jabberphotos,http,Started,#d5e8d80,#82b442,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
JHB Phone Forwarder,8205,,http,Started,#d5e8d81,#82b443,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
JHB Voicemail Forwarder,8206,,http,Started,#d5e8d82,#82b444,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
LockerVisionView,8017,,http,Started,#d5e8d83,#82b445,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
London Cisco Phone Forwarder,80,lonphones.nba-hq.com,http,Started,#d5e8d84,#82b446,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
London Cisco Voicemail Forwarder,8173,,http,Started,#d5e8d85,#82b447,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
LPauth,8108,,http,Started,#d5e8d86,#82b448,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Mail Log,8189,,http,Started,#d5e8d87,#82b449,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
MediaCentralRegistration,8204,,http,Started,#d5e8d88,#82b450,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
MeetTheExec,8216,,http,Started,#d5e8d89,#82b451,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Memotech,8988,,http,Started,#d5e8d90,#82b452,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Mexico Phone Redirect,8673,,http,Started,#d5e8d91,#82b453,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Mexico Voicemail Redirect,8674,,http,Started,#d5e8d92,#82b454,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
